title,review
분노의 질주  더 익스트림,자동차 액션만은 늘 즐거우니까 좋다
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,역대급 스케일의 액션 영화 액션은 끝장 스토리는 막장 머리는 반짝
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,에 돔의 차량은 멀쩡하네
분노의 질주  더 익스트림,자율주행차가 해킹당하면 큰일날수도 있네요
분노의 질주  더 익스트림,막장 스토리나 억지 설정은 여전하다 하지만 절정부의 설원에서의 액션은 볼만하다고 할 수 밖에 없다
분노의 질주  더 익스트림,날아가는 어뢰를 달리는 차에서 맨손으로 굴리는 장면에서 황당함의 극치
분노의 질주  더 익스트림,빈 디젤
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,캐스팅이 정말 엄청남 시리즈 초반은 단순 레이싱 액션이였는데 지금은  제이슨본 시리즈가 되버렸넹
분노의 질주  더 익스트림,거듭될수록 스케일은 점점 커져가면서 스마트하게 악역으로 나왔었던 주연급 배우들 절대 안죽이고 필요할때 재탕 써먹으면서 시너지 효과 극대화 시킴 액션은 진짜 현재 액션 시리즈로서는 최고인거 같음 그리고 멤버들 조합도 너무 좋고 제이슨 스타뎀 액션 진짜 멋있음 후반부에 진짜 대박이었음 
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,다시봐도 최고
분노의 질주  더 익스트림,보면서 매드맥스가 떠올랐다 안 봤으면 후회할 뻔
분노의 질주  더 익스트림,아무생각없이 보기엔 좋다
분노의 질주  더 익스트림,점 주는건 내마음 이지롱 메롱 어쩌나
분노의 질주  더 익스트림,빈 디젤
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,말이 안되는데 말이 되는 액션
분노의 질주  더 익스트림,반전이 말도 못하게 나와서 엄청 재있음
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,전쟁이 왜 일어나나 물었을 때 전에는 원한과 복수 때문에 일어난다고 했었다 근데 그게 아닌 것 같다 전쟁은 사랑하는 마음이 크면 클수록 일어날 가능성이 높아지는 것 같다 국가에 충성하려고 총 들지 않고 돈 몇 푼 때문에 죽으러가지 않는다 사랑이 커졌을 때 전쟁 위험도 커진다 그리고 사랑이 많은 나라가 전쟁에 이긴다 애국심은 목숨 왔다갔다 하는 전쟁터에서 아무 의미없다 끌려와서 개죽음 당한다고 생각하게 된다 그래서 미국은 전쟁만 했다하면 가족이니 형제니 우리는 하나니 하면서 사랑으로 묶으려 한다 우리는 서로 죽어라 싸워서 될 일도 안 되고 있다 
분노의 질주  더 익스트림,대머리뻐끄만 세명 나오는 명작
분노의 질주  더 익스트림,악당과 우리편의 역할 바꾸기
분노의 질주  더 익스트림,재밌고 스릴러 좋다
분노의 질주  더 익스트림,최강의 리더 최악의 적이 되다
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,굿잡
분노의 질주  더 익스트림,부작 중 첫번째 영화  
분노의 질주  더 익스트림,말이 필요없음 대단히 만족하는 영화 
분노의 질주  더 익스트림,액션의 끝판왕
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,근데 토레토 쓰레기 아니냐 혼외자식 구하려고 전부 고생시키네 여친은 무슨죄임 당장 헤어질각인데
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,나는 샤를리즈테론만 보이더라   늘씬한 몸매서늘한 눈빛조각같은 미모그냥 죽인다
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,이영화 시리즈는 역시 최고 후반부 얼음 위에서의 질주 액션은 멍불허전 최고
분노의 질주  더 익스트림,역시 실망시키지 않는 자동차 액션과 그들의 케미
분노의 질주  더 익스트림,극장에서 번 봤는데 에서 해주길래 들어와봄 차가 비 내리듯 떨어지는 장면 
분노의 질주  더 익스트림,단점 악당들만 추풍낙엽처럼 죽어나가는 연출 장점 좀비 차량들의 추격전 잠수함의 등장 한줄 평 쿠바의 경주씬은 신나며 중간 중간 차량 등장씬들은 역시 이 시리즈를 대변해 준다 상당히 아쉬운 부분이 액션에 비해서 너무 주인공들 위주로 맞춰지는 듯한 퍼즐같이 피해만 당하는 악당들이 긴장감을 사그러들게 만드는 연출
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,그냥 시간 죽이기 좋은 영화 현실성은 거의 제로 액션영화라기 보다는 영화 수준  해킹으로 움직일 수 있는 자율주행 자동차가 넘쳐나고 보잉 크기의 비행기가 레이더에 안잡히고 날아다니고 잠수함이 빙판 위를 달리는 스포츠카를 얼음을 부수며 따라맞히는 영화  그냥 신나게 달리고 때려부수는 것 보려면 딱이고 밀러터리 영화 좋아하는 사람은 그냥 패스
분노의 질주  더 익스트림,가족은 영원하다
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,제목에서 벗어나면 뭐 어때 재미는 있잖아
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,역시 재밌어요 분노의 질주는 짱
분노의 질주  더 익스트림,분노의질주가 아닌 그냥 액션영화네
분노의 질주  더 익스트림,이 시리즈는 편만 괜찮았고 지겨워 질 무렵에  드웨인 존슨 추가 해 살렸다 
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,역시 영화는 정치적 종교적 메세지를 아무것도 넣지않고 깔끔하게 만들어야한다 한국영화랑 외국영화가 다른점 가르치려 들지 않는다는것
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,재밌는데 왜그러지
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,분노의질주 더 익스트림 출연 빈 디젤 제이슨 스타뎀 드웨인존슨  샤를 리스 테론  레이시서팀 경주 싸움 시작 전쟁  신와함께 시작됩니다
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,스릴 넘치는 자동차 액션
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,갈수록 드래곤볼 같아 스토리를 쥐어 짬
분노의 질주  더 익스트림,잼있네
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,분노의 질주 시리즈중에서 제일 별루
분노의 질주  더 익스트림,시원 하게 잘 본 영화 다음 시리즈에서는 여자 주인공의 비중이 더 높아졌으면 하는 바램
분노의 질주  더 익스트림,반지닦기 자살닦이 고무닦이 정의닦이로 이어지는 한심한  시리즈  레지던트 이블 시리즈  그리고 이 영화 분노의 질주 시리즈  공통점은 시리즈가 거듭될수록 돈은 많이 들지만 재미는 없어지고  는 떡질되지만 실감나는 장면은 더 없어지도 뻔히 가짜라는게 드러나는 영화들   그러나 아무리 엉터리로 만들고 자국에서 망해도  미국 블록버스터라면 맹목적으로 보는 중국애들 땜에  아무리 쓰레기 영화라도 본전 건지는 것은 물론 상당히 많은 돈을 버니  이런 쓰레기들이 매년 양산된다   물론 중국애들도 할말은 있을 거다  공산당이 검열하는 자국영화보다는 낫다고   하지만 우리들은 다른 전세계의 재미있는 영화를 볼 선택의 자유가 있쟎아  왜 이런 쓰레기 영화를 보
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,그냥 액션만 보면 멋진데 스토리는 주인공이 전여친한테 싸지른 애새끼 구하러 간다며 아빠행세하면서 그 덕분에 지동료들 다 버리고 미쳐 날뛰는 내용
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,아래는 다들 평점 알바들인가부네 이런 개 쓰레기 영화가 평점이 이리 높다니
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,스케일은 점점 더 커지지만 액션은 멍청할정도로 어이가없음 과유불급
분노의 질주  더 익스트림,이 시리즈로 이렇게 길게 간다는게 신기 새로울 건 없지만 달리는 걸 좋아하시는 분이라면 
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,대머리들은 물로 찍고 감독은 실에서 이어붙히고
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,이제는 제목만 남은 분노의 질주
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,
분노의 질주  더 익스트림,전형적인 헐리우드 액션물 걍 생각없이 봐야 좋은 영화
분노의 질주  더 익스트림,이렇게 뻔하기도 힘들다  노잼 노볼거리 어떻게 이런 평점이 나오냐
분노의 질주  더 익스트림,재밌어요
