title,review
꾼,부정한 일에 사회가 나서야 함 아직 언론은 부정하고 힘있는 사람들 편이니
꾼,그냥 저냥
꾼,시원하고 통쾌하다 아주 잘 봤음 무소불위로 군림하는 힘의 대해 저항하는 방법과 그 면역력이 생성될 교과서적인 작품
꾼,억지로 반전에 반전 몰카가 다한 영화
꾼,
꾼,재미있게 봄
꾼,로 재방할때마다 본다  저상태로 후속편 기대해봄
꾼,썩은 굥찰 딱이네  끝이 똑같길
꾼,몇번을봐두 난 재미엇 시나리오 최고 다 최고
꾼,잘만들었네요 존잼
꾼, 좀 어설프다 그래도 아쉬운데로 볼 만 했다
꾼,볼만합니다
꾼,이렇게  잘 만든 영화가 왜케 평점이 낮을까 요즘 세태와 딱 맞아 떨어지네요
꾼,시간 순삭 기대없이 봤다가 제대로 건진영화
꾼,난 잼있네 이거 이상하네
꾼,감독을 짤라버려야 하는영화
꾼,관객을 뭘로 보고  영화 내용 앞뒤도 안 맞고케릭터는 더 더욱 말 도 안되고
꾼,최근에 다시 보니 너무 현실적으로 잘 만든 영화 싱크로율 
꾼,항상 밑지는 장사를 하는 장사꾼은 앉은 자리에 풀도 안 난다 국민에게 실행할 수 없는 약속을 하는 정치꾼은 선거 때만 되면 양로원을 찾거나 재래시장을 다니면서 서민을 위한 정치를 하겠다고 말한다 인간의 내면에 숨겨진 욕구를 교묘하게 찌를 줄 아는 사기꾼 똑똑하거나 경계심이 많다고 해서 물릴칠 수 있는 상대가 아니다 사기꾼은 표적의 경계심을 역이용해서 안심하게 만들고 미리 파 놓은 함정으로 유인한다
꾼,영화가 후반부 반전으로 갈수록 잼나다  영화는 조희팔사건을 모티브로 삼았는데 조희팔 숨겨준 넘들이 더 나쁘다  그 넘들은 우리 세금으로 돈받는 넘들 아닌가
꾼,재미있음 무거운 주제 가볍고 유쾌하게 풀어낸 연출 연기에 박수 탄 기대 중
꾼,진짜 너무 재밌음
꾼,이런 영화 완전 내 취향임
꾼,볼만함
꾼,그냥  기대없이 봤는데 재밌군요   특히 쓰레기 같은 정치인과 권력의 시녀가 된 떡검들  윤석열 총장 같이 권력에 정면으로 맞설 수 있는 검찰이 몇이나 있을까
꾼,유치짜뽕
꾼,나나 연기 넘 자연스러워 깜놀
꾼,우선 영화로 나마 이런 통괘한 결말을 보게 되서 기쁘다 피해자들에 의해  주도면밀하게 짜여진 정의로운 복수였다는데 더 큰 찬사를 보낸다  정의는 오리엔트특급살인에서 탐정 뽀와르가 자신의 판단을 번복하는  기준이기도 하다  시나리오의 뼈대를 오리엔트특급살인과  최근 영화 굿라이어    에서 차용하였으나  애거사 크리스티마저도 아낌 없는 박수를 보내지 않았을까 하는 상상을 해본다  이런 영화가 천만 관객이 들었었다면 좋았을걸 하는 개인적인 아쉬움도  검찰과 경찰 등의 수사기관과 권력과의 관계가 암수동체임을 헤아려 본다면  영화보단 더 버라이어티한 현실이 영화 만큼만 현실적이라면 좋겠다는 바램이다
꾼,엔딩이 맘에  안들지만  연출이나 시나리오는 좋음 왜  우리나라 검사들이 기세가 등등한지 이영화를 보면 이해가 됨   그리고 사건 연류된 사람들에 왜 갑자기 자살했는지도 어느정도 이해됨
꾼,몰입도 높고 스피드 있는 전개와 배우들 연기도 다 좋았는데반전 스토리 살짝 아쉬웠지만 전반적으로 만족스런 영화
꾼,재미있어요   배우들 다 연기 너무 잘하시구요   나나 매력적임 
꾼,중간에 대충 반전은 예상 가능했고 그냥저냥 볼만한 영화였네요  한국영화의 딜레마를 잘 보여주는 영화라고 생각합니다 너무 복잡하고 보기 힘든 건 대중들이 기피하고 또 쉽게 볼 수 있는 영화는 유치하다고 하고  그 중간에서 줄타기를 하려던 것 같네요  줄거리에 힘을 빼면 캐릭터에 방점을 찍고 가는데  현빈 연기가 좀 아쉬웠고  마지막 성대모사는 조금 설득력이 떨어지는 결말 아니었나 싶습니다  그리고 검찰을 악으로 모는 건 어느새 한국영화의 클리쉐가 되어버린 느낌
꾼,검찰 권력의 더러운 민낯과 통쾌한 반전 멋지고짜릿한 영화 잘 보았음
꾼,뒤죽박죽  뻔한 스토리에   연기들이 전부 부자연스러움  다시는 보고싶지 않은 영화 
꾼,존잼
꾼,
꾼,보통
꾼,출연진들이 시나리오를 보지도 않고 연기한 다른 영화보다 잘 소화하며 탄생시킨 굳작품
꾼,와 이거 진짜 엄청 재밌는데 아니 이거 진짜 기대 하나도 안하고 봤는데 미친 마지막에 카타르시스 쩌는데 와 아직 안 본 사람들 꼭 봐보길 킬링타임용 이상인데 완전 몰입해서 봤는데 꿀잼
꾼,짜임새 있는 스토리와 약간은 예상되지만 막판 반전을 통해 재미를 더하네요
꾼,그냥 볼 만해요 배우들 연기도 어색하지  않고
꾼,점 이상은 받을 수 있을 것 같은 영화
꾼,
꾼,개쓰레기
꾼,잼있네요
꾼,
꾼,
꾼,불보듯 뻔한 스토리 반전  유치짬뽕
꾼,아주 재미있습니당
꾼,현빈 잘생긴 맛으로 보는 듯
꾼,현빈 연기 좋다 
꾼,기대 없이 봤는데 좋았음
꾼,스토리가 짜임새 잇네요 탄은 언제 나올라나 번 봐도 재밋네 점수가 약해들 점 만점에 점은 줘야죠
꾼,이렇게   재미있는걸  왜 이제사봤을까요   두번째 보는중
꾼,
꾼,무소불위 검찰 조직과 썩은 권력자들의 커넥션 공수처와 수사권 조정 등 검찰개혁이 필요한 이유
꾼,재밌는데요
꾼,현빈얼굴이  점
꾼,는 줄만하구만  왜이리 점수가 낮지
꾼,
꾼,아니길 바라지만 이미 어디선가 본 것들
꾼,
꾼,
꾼,
꾼,재미있는데 평점 왜 이 모양 
꾼,배신의 질보다는 양
꾼,
꾼,
꾼,재밌게 잘 봤습니다 검사가 총 쏘고 사설 경비원 데리고 다니는 등 너무 현실이랑 동떨어진 시나리오때문에 몰입감이 다소 떨어졌지만 배우분들 연기력은 일품이었습니다
꾼,킬링타임용으로 나쁘진 않지만 그걸 이 배우들 데리고 이 비용으로 찍다니
꾼,재미있게  잘 봤습니다
꾼,년전에 개봉했어도 평점 못받음 특히 유지태 현빈 박성웅 등 주연급들 연기가 진짜 못 봐주겠음 왜 이사람들이 영화에 못나오나 했더니 시대에 맞지 않는 부자연스런 개발 연기에 감독의 년전 스타일의 연출에  여자가 박성웅 지갑 소매치기할때  너무 유치해서   감독님 연출하시면 안될듯 하네요 장난하나 시간 낭비
꾼,희팔이 이 신발
꾼,유지태 연기 빼고는 나름 굳굳
꾼,재밌네용
꾼,
꾼,
꾼,으로 봤는데완전 잼이쓰
꾼,
꾼,
꾼,유지태 연기 참 못해
꾼,재밌는데
꾼,반전 최고
꾼,
꾼,
꾼,재미없어
꾼,
꾼,스토리를 중간에 못끌고 마지막 반전도
꾼,
꾼,재밌게 밨어요 
꾼,
꾼,반전의 반전 재밌게 봤어요 역시 현빈 연기도좋구요 희대의 사기꾼 조희팔이 떠오르더라요
꾼,스토리 좋고 배우들 연기 좋음 끝까지 몰입도 있게 잘봤음 반전의 연속도 좋음
꾼,
꾼,
꾼,괜찮은 반전영화
꾼,재밌네요
꾼,재미있었어요
꾼,재밌게봤어요
꾼,
꾼,한국 영화의 대부분을 차지 하는 사기극  뻔한 내용일꺼라 생각하고 영화를 봣지만 집중하지 않으면 이해할수 없는 그 새새한 하나하나의 반전이 영화위 흐름을 잘 매꿔 준것 같다는 생각이 드는영화 하지만 그렇게 내 마음에 들지는 못햇던것 같다
꾼,주연 및 조연의 활약으로 영화 전체를 꽉 채웠지만 왠지 모르게 빈틈이 보이고 필요 없는 군더더기가 보이며 결말이 작위적으로 느껴진다는 것이 단점 그래도 잘 만들어진 영화입니다
꾼,우연히 보게됐는데 시간 가는줄 모르고  재밌게 잘봤다
꾼,재밌어 현빈 최고
꾼,
꾼,현빈
꾼,년도 개봉했으면 호평받았겠지만지금 관객의 눈높이에는 맞지 않는다 
