title,review
캡틴 아메리카  시빌 워,어벤져스의 분열이 일어날 수밖에 없는 이유
캡틴 아메리카  시빌 워,
캡틴 아메리카  시빌 워,캡틴 아메리카 시리즈의 윈터 숄져와   시빌워는 마블 명작이다  특히 스파이더맨이 유치해서 보기 힘든 분들께 강추
캡틴 아메리카  시빌 워,마블도 철학이 담긴 영화를 만들 수 있다는 가능성
캡틴 아메리카  시빌 워,꿀잼
캡틴 아메리카  시빌 워,명작
캡틴 아메리카  시빌 워,히드라 와 싸우다 같은 팀 끼리 싸움
캡틴 아메리카  시빌 워,어린애같은 토니 스타크 자기는 사람 엄청 죽여놓고 제대로 사과 한 마디 안 했으면서 완다 부모 죽은 것도 토니 스타크 탓이 큰데 사과했었나 아 맞다 완다를 저택에 가뒀었지 내로남불 그 자체다 심지어 윈터 솔져는 조종당했던 거지만 지는 아니었으면서 마블 광팬이고 아이언맨 정말정말 좋아하지만 이 영화에서만큼은 아님  그리고 이성적인 블랙 팬서 아이언맨처럼 윈터솔져버키는 아니지만에 의해 아버지가 돌아가셨지만 이성적임 가해자는 조종당한 윈터솔져가 아니라 조종한 사람이라고 판단해 곧바로 제모를 체포함  무엇보다 주인공은 정의로운 캡틴 아메리카 최고는 아니지만 최선의 선택을 할 줄 앎  차 세계대전 때 목숨바쳐 싸웠는데 몇십년만에 정신차려보니 아이언맨한테 살해당할 뻔한 윈솔
캡틴 아메리카  시빌 워,각 캐릭터의 깊은 이해를 바탕으로 만든 히어로 명작 개인적으로 마블 최고의 작품이라 생각한다
캡틴 아메리카  시빌 워,캡틴  아메리카    시빌  워
캡틴 아메리카  시빌 워,재밌어
캡틴 아메리카  시빌 워,
캡틴 아메리카  시빌 워,이봐  쫄쫄이
캡틴 아메리카  시빌 워,고인의 명복을 빕니다
캡틴 아메리카  시빌 워,엔드게임까지의 여정을 위한 큰 그림 시빌워가 없었으면 엔드게임의 결말은 달랐을런지도 모른다
캡틴 아메리카  시빌 워,초딩들이 많아 너무 많아
캡틴 아메리카  시빌 워,캡틴 아메리카 꼰대 답답이
캡틴 아메리카  시빌 워, 급식이들아 니가 마블 영화 다 정주행하고 시빌 워에옵울을 몇번이고 돌려 봐야 이 영화를 이해하지 참고로 나도 급식이니깐 뭐라하지 마라
캡틴 아메리카  시빌 워,어벤져스 인피니티 워를 위한 거대한 떡밥
캡틴 아메리카  시빌 워,
캡틴 아메리카  시빌 워,명작
캡틴 아메리카  시빌 워,선과 악이 뚜렸했던 슈퍼히어로의 영화가 선과 악을 구분하지 않기 시작했다
캡틴 아메리카  시빌 워,처음에 봤을땐 이해가 안되는 부분이 있었는데 연말을맞아 어벤져스 시리즈와 각 맴버들의 개인 영화들을 전부 죄다 포함한 마블 시네마틱 유니버스의 모든 편의 영화들을 모두다 하루에 하나씩 모두 빠짐없이 순회공연 하며 캡틴아메리카 에 이어 이것까지 보니까 이제까지 몰랐었던 어벤져스와 마블 스토리에 전체가 아주 훤히 보이는 구나 얘네들이랑 슈퍼맨이있는 저스티스 리그랑 싸우면 누가 이길까
