title,review
터널,촘촘한 구성으로 지루할 틈이 없었다  재밌었다
터널,하정우 배우가 아까와요
터널,
터널,성범죄자와 프로포폴 불법투약범의 환장의 콜라보
터널,재난영화의 한국형 변주를 덧입히다
터널,평을 먼저 보고 영화를 봤더니 영화보는 동안 미리 봤던 불평들이 자꾸 떠올랐다 전화기 배터리가 뭐 그리 오래 지속되며 수십일을 굶었는데 몰골이 멀쩡한지
터널,미나 일부씬 편집안했어야 죽음으로 복선 감동더했을듯
터널,부실공사 오합지졸 재난대응  경제논리 과잉의전 피해가족이 또다시피해자가되는 현실   연기짱은 퍼그개 배두나 오빠 오빠 오그라듦
터널,이제 다 죽었으니 그만하자 시체 건지려다 무고한 희생만 늘어난다 많이 들었던 이야기들 그런데 그 말 처음 한 놈들의 진짜 의도가 보인다 물론 영화에서 듣고 봤다는 말이다
터널,영화는 재난 영화의  공식을 모범적으로  잘 지킨다 재난  현장 밖을 통해서  현 세태를  비판하고  현장  안을 통해  생의 의지 숭고함 열정들을 보여준다  한국식  신파에 매몰되지 않은 담백한 재미의 작품
터널,하정우가 이렇게 연기를 잘했었나
터널,스토리상 고구마가 있을수 밖에 없지만 그래도 재밌는 영화 이정도면 볼만한 영화라고 봄
터널,터널 안에서의 긴장감이 좀 부족했지만 정치하는것들 현실 풍자적인게 재미를 더했음
터널,
터널,
터널,
터널,한정된 공간에서의 스토리텔링이 참 좋았다 대한민국의 현실을 보여주는게 짜증난다고 점수 낮게 주는 건 뭐지  그래서 예술이 아닌가 현실을 짜증날 정도로 보여줬다면 잘 표현한 작품이지
터널,이걸보고 감탄하는 사람들은 영화를 많이 접해보지 못한 사람들같다 
터널,
터널,우리니라의 현시점
터널,개연성을 이렇게까지 개무시하고 영화를 만드네 정말 상상속의 시나리오다 
터널,
터널,배두나 연기 잘하네
터널,어우 진짜 암걸린다 
터널,
터널,대한민국 현실을 나타내서 짜증났다
터널,하정우도 불쌍하면서도 그래도 끝까지 생존의식이라도 있었지 죽은 젊은 여자는 진짜 뭐냐 국가책임 아님 솔직히 터널속에 있는 강아지 탱구가 진정한 영웅이고 어벤져스였다
터널,오달수 연기 진짜 못하는데 여기저기 참 많이도 나온다  뭐 그 사건 있고나서부턴 배우로서 끝이지만 
