title,review
가디언즈 오브 갤럭시       ,마블 영화 중 최고다  욘버지 그리읍습니다
가디언즈 오브 갤럭시       ,유머와 액션은 여전한데 뭔가 조금 아쉽다
가디언즈 오브 갤럭시       ,지금 내 주변에있는 가족을 가장 소중히 여기자
가디언즈 오브 갤럭시       ,전편을 능가하는 가장 유쾌한 팀플레이
가디언즈 오브 갤럭시       ,내하하
가디언즈 오브 갤럭시       ,감동
가디언즈 오브 갤럭시       ,유쾌 상쾌 통쾌 감동
가디언즈 오브 갤럭시       ,유치해서 헛웃음만 나오던
가디언즈 오브 갤럭시       ,좋아요
가디언즈 오브 갤럭시       ,별로
가디언즈 오브 갤럭시       ,벌써 몇십번을 봤지만 볼 때마다  욘두 죽는 장면에서 눈물나네
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,유쾌
가디언즈 오브 갤럭시       ,그루프 개귀여
가디언즈 오브 갤럭시       ,전작의 치고 빠짐을 적절하게 사용했다면
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,전편보다는 못하지만 그래도
가디언즈 오브 갤럭시       ,불꽃슛통키가 더 재밌다 
가디언즈 오브 갤럭시       ,몇번을 봐도 재미있는 영화 인트로는 정말 최고
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,그루트 짱 
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,유쾌하게 재미있게 봤어요      
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,빨리  나왔으면  그루프  중병 걸린  모습  어떨찌 
가디언즈 오브 갤럭시       ,말이 필요없는
가디언즈 오브 갤럭시       ,그루트 넘 귀여워요
가디언즈 오브 갤럭시       ,그루트는 여전히 귀엽네 너무 재밌고 웃겨  테이프 
가디언즈 오브 갤럭시       ,난 너의 팬이야
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,한번 더 보니 더더욱 신나네 그렇게 우주 전체의 생명을 창조할 힘이 있으니 혼자서 타노스도 끝장내 버렸어야지
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,욘두는 최고의 아빠였어
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,마블에서 제일 감동적인 영화
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,아임 유어 파더  
가디언즈 오브 갤럭시       ,최고의 그루트 오프닝
가디언즈 오브 갤럭시       ,내 마음 속 마블 시리즈 최고작  개성 넘치는 캐릭터들  감성이 듬뿍 녹아있는   과감하면서도 사랑스러운 상상력 독창적인 우주관 등  덕질할 만한 모든 요소들을 고루 갖추고 있다  소버린 편대의 무인조종과 년대 오락실 효과음  거대한 아케이드 팩맨 데이빗 핫셀호프 미드 치어스 등등  영화는 시작부터 끝까지 년대 감성으로 점철되어 있다  편에서는 캐릭터들을 소개하고 확립하는 데 시간을 할애했다면  편에서는 확립된 캐릭터들을 데리고 마음껏 우주를 누빈다  욘두 편의 진정한 주인공이다  장례식 장면은 너무나 아름다워서 눈물을 흘릴 수밖에 없다 
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,욘두
가디언즈 오브 갤럭시       ,편만큼은 아니더라
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,행복
가디언즈 오브 갤럭시       ,재밌당
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,갈수록 재미 없다 
가디언즈 오브 갤럭시       ,언제나 재밌다 시리즈 나머지도 보고 싶어
가디언즈 오브 갤럭시       ,말이 필요없지
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,전격작전 데이비드 핫셀호프 편보다 코믹 쪽으로 무게 중심이 옮겨 갔지만 아무튼 볼만함
가디언즈 오브 갤럭시       , 중에서 가장 정이간다 음악적도 취향도
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,굿
가디언즈 오브 갤럭시       ,전편보다 판을 키우면 꼭 이런 문제가 생긴다 볼 거리는 많은데 재미가 덜하다는 거다
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,핵 꿀잼
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,아름답다 평론가 장난 똥싸는놈들 이 명작을 
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,셀리스트리얼이 등장해서 잔뜩 기대를 했고 그 능력을 엿보기를 기대했지만 전투장면이 좀 시시했다 다만 스타로드 출생의 비밀을 알 수 있어 봐야만 했다
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,몇번을 봐도 최고임
가디언즈 오브 갤럭시       ,역시 가오갤
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,잼나네요
가디언즈 오브 갤럭시       ,최고의 영화중 한편입니다 꼭 편이 나오길    
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,지루해서 보다 말았다 예쁘지도 않고 본인을 죽이려했던 녹색여자를 왜 주인공은 자꾸 꼬시려드는지 실망스럽고 이해안된다 여자면 다 꼬시나
가디언즈 오브 갤럭시       ,개인적으로 역대 마블 중 최고
가디언즈 오브 갤럭시       ,모두가 하드캐리
가디언즈 오브 갤럭시       ,편보다 나은 속편은 힘들다 확율상
가디언즈 오브 갤럭시       ,하고싶어요안될까요제발보내드립니다네
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,마블 선수 할 타율은 하네요
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,술마시고 봐서 그런지 욘두 보면서 아버지와 우리아들 생각에 눈물이 그렁그렁 
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,역시나 지루한 마블 하지만 영웅은 너무 좋다
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,재미있다
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,편도 정말 재미있게 봤습니다 뭔가 마블껀데  느낌도 나고  중에는 제일 좋네요
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,형형색색 마음에들어
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,앞으로도 계속 우주의 개그를 지켜주세요
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,영화는 잘 만들었다  제임스건의 영화는 더이상 볼수 없다니 안타깝다
가디언즈 오브 갤럭시       ,이 시리즈는 음악이 반은 넘게 먹고 들어가네마블영화중에 이 시리즈가 제일 재밋어 정말
가디언즈 오브 갤럭시       ,기분이 좋아지는 영화 베이비 그루트 넘 귀여움 편도 음악 굿 
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,편의 여운이 너무 강했다 편만큼은 아니지만 나름 재밌게봤다
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,액션 면에서는 살짝 지루한 감이 있으나 탄탄한 스토리가 마블 영화 중에서는 일품인듯 다음 속편도 기대된다
가디언즈 오브 갤럭시       ,진짜 부성애 찾기새로운 멤버의 등장과 예고 재미있었음 그루트도 깜찍하고그러나 우리말 더빙판은 대실망 배우와 어울리는 목소리가 없음 특히 주연급은 더함
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,음악과 영화내 이벤트와의 싱크가 즐거웠다
가디언즈 오브 갤럭시       ,그럭저럭 볼 만 하네요
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,개인적으로 편 재미없게봐서 그리 기대하지않았는데 편은 잼나네
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,어벤져스 인피니트 워 보다가 대체 이 등장인물들은 뭐지 싶어   다 찾아봄  정말 최고의 시리즈작 
가디언즈 오브 갤럭시       ,고전음악들로 관객을 홀리지 마라 그러면서 또 당했다
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,편보단 못해도 나쁘진 않다
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,재미와 감동 최고
가디언즈 오브 갤럭시       ,모든 캐릭터가 다 맘에 든다 유머와 음악이 어우러진 마블 최고의 오락영화
가디언즈 오브 갤럭시       ,식상한 패턴이지만 전편보다 나아졌다
가디언즈 오브 갤럭시       ,
가디언즈 오브 갤럭시       ,완전 굿이네요 대박임
가디언즈 오브 갤럭시       ,볼거리는 많으나 특별함을 찾지 못했다
가디언즈 오브 갤럭시       ,개성강한 캐릭터 좋아하시면 추천드립니다  
가디언즈 오브 갤럭시       ,진짜 재밌따
가디언즈 오브 갤럭시       ,캐릭터들이 너무 유쾌해서 좋다
가디언즈 오브 갤럭시       ,욘두 참아빠
가디언즈 오브 갤럭시       ,캐릭터들의 개성 모인 앙상블
가디언즈 오브 갤럭시       ,인피니티 워 때문에 보게 됐는데 재밌어요
가디언즈 오브 갤럭시       ,다 좋은데 지나치게  노래가 너무 나와서  집중이 안되구 진지함이  없다
보안관,이성민 때문에 봤는데 재밌네요
보안관,볼만합니다
보안관,평점 테러는 범죄 재미있게 잘 봤습니다
보안관,시나리오 탄탄한 편 유쾌합니다
보안관,배우들 연기도 좋았고 뻔한 내용과 포인트지만 의외로 볼만한
보안관,오랜만에 명품연기자들의 영화 잘 봤네요 지겨운줄 모르고 봤습니다 부산 출신경상도 출신 연기자가 많이 나와 사투리도 어색하지 않고 좋았어요 사실 사투리 어색하면 몰입에 방해되거든요
보안관,명배우들 다 모아서 눈이 호강했어요 이성민 조우진 조진웅 연기 넘 잘하네여
보안관,평점 와 이라노 연기 구멍 없고 재미지던데
보안관,이성민씨 참 매력적인 배우임 그리고 저 나이에 몸 관리도 엄청 하시는 듯 근데 조진웅 처음에 지게차로 나오자마자 반전 바로 눈치챘었음 반전이라고 하기에는 너무 부끄러운 킬링타임용으로 가볍게 즐기기에는 좋음
보안관,봐도봐도 재밌음  굿굿
보안관,한코푸 하이소행님
보안관,
보안관,
보안관,재밌네요 조연들 하나하나 최고의 배우들만 모았네
보안관,재밌는데 평점이 왜이런지배우들 연기가 넘 재밌었네요
보안관,재미있네요 많이 웃었읍니다
보안관,숨겨진 명작중에 명작  연출 정말 잘했음 배우들 연기 좋았고 배꼽잡고 웃었음
보안관,존잼
보안관,제목보고 별로라 생각했는데 재미나고 만족합니다
보안관,시간 잘감
보안관,
보안관,극한직업에 뒤질거도 없는데 별점하고 흥행은  와 이렇노  와 언자 바쓰꼬 
보안관,개저씨를 코믹하게 다룬 작품 나름 괜춘함
보안관,잘 봤어요
보안관,반전이 있어요 재밌게봤음
