title,review
살인자의 기억법,이건 좋은 영화네눈물이 주루룩
살인자의 기억법,명화다
살인자의 기억법,처음 설현 아빠하고 파출소 들어와서 괜찮아 괜찮은거지 할때 시선처리  부분에서 꺼버림
살인자의 기억법,재밌어요 설경구 최고
살인자의 기억법,설경구 연기에 감탄했다 연출도 좋고 설현 연기도 괜찮았다 설경구는 진짜 연기에 미친 듯
살인자의 기억법,
살인자의 기억법,흥미로운 스토리를 살리지 못한 연출과 결말
살인자의 기억법,연기 좋다  액션보다는 심리묘사에 좀 비중을 두었더라면
살인자의 기억법,평점이  맞네요 바쁘신 분은 앞부분만 보시길
살인자의 기억법,세상에 김영하노벨 문학상
살인자의 기억법,책으로 먼저 접했으나 영화적 구성과 재미도 잘 구현한 작품
살인자의 기억법,평점 생각보다 낮네 스릴러에 반전이 예상은 했지만 김남길 오달수 뒤에 등장할때 진심 소리지름
살인자의 기억법,원작이주는 독특한분위기때문인지  영화는좀평범하게느껴짐 배우들연기는좋았어요
살인자의 기억법,설경구와 김남길의 연기 콜라보 설현은 감정연기할때 시커멓게 분칠한거 아주 나이스함 연기력 딸리는것을 소품으로 커버함 스토리는 책에 비해 난잡함  영화를 처음보는 사람한테는 호불호가 갈리겠지만 설경구와 김남길의 연기만으로 나름 볼만함
살인자의 기억법,극장판 보고는 재밌네 정도로 느낌 감독판 보고는 이걸 이렇게 재배치한다고라는 생각이 들었음 개인적으로 감독판이 더 재밌었음
살인자의 기억법,지금보는중인데 넘 잼나네요 그다지좋아하지는 않지만 설배우의 연기력은 감탄스럽고 김남길또한 넘 빠져듭니다 설현도 배우로서의 입지를  점점 다지는거 같음
살인자의 기억법,책을 읽고 나서 봤는데 다른 분들은 영화를 먼저 보고 책을 따로 읽는게 좋을 것 같다  둘의 결말이 완전 다른데 그 다름 탓에 조금 지루한 감이 있었다 지루함 때문에 넷플에서 배속으로 봤는데 그러니까 좀 괜찮았다  설경구라는 배우의 연기가 매우 좋았다 내가 평가할 건 아니라지만 그 눈빛이나 얼굴 주름 하나하나가 감탄스러웠다 다른 남자배우가 어색해보일 정도로
살인자의 기억법,지금본게 부끄러울정도입니다  설경구 배우님 대단하십니다 진정 떳떳하게 배우라하실수 있겠네요 당신의 평생에 배우인생을 응원합니다 이영화처럼 더많은작품에서 보여주세요 배우설경구를 당신의 영혼에 노고를 응원합니다
살인자의 기억법,재밌구만 마지막  산장씬은 좀 진부했지만 잘봤다
살인자의 기억법,배우가 보이지 않았다 살인자 명을 보았다 정말 놀랍도록 연기를 잘했다
살인자의 기억법,평가가 구려서 계속 안보던 영화였는데 아무 생각없이 그냥 봤다가 엄지 으뜸 세워주고 갑니다
살인자의 기억법,내용이 많이 무거웠던 걸로 기억합니다 분위기도 많이 어둡습니다 비추천합니다
살인자의 기억법,넘넘 재밌게 잘 봤어요
살인자의 기억법,난 왜 설경구 연기보면 뭔가 어색하지  눈떨림 연기는 진짜 대박이긴 하더라 진짜 질병있는 사람같았음
살인자의 기억법,여러 해석을 만들고픈 것인지 엇 뭐였지방금 하는장면이 두컷정도 나왔는데 나는  그건 그냥 쓰루하고 보여준 그대로를 단일 스토리로 본다  마지막 장면에는 의미부여하지 않음
살인자의 기억법,괜찮은데요 설경구 김남길 설현 연기 좋아서 몰입할 수 있음 맨 마지막이 쪼금 머지 또 기억력상실인가 하는 아이러니함
살인자의 기억법,대가리에 뭐가 들었는데 잘 만든 영화를 까는지 모르겠다 보는 내내 몰입이 강했고 배우들 연기도 지렸다
살인자의 기억법, 왜 
살인자의 기억법,너무나 지루한 화면의 연속  젊은층에 비호감인 늙은 치매를 소재란 비호감  김남길 연기의 바닥   더 이상 망작을 설명할 필요 자체가 없다
살인자의 기억법,볼만함
살인자의 기억법,애매하게 끝난 결말 우리가 직접 생각할 기회를 주는 영화라 생각했습니다 충분히 요새도 일어날수있는 일이라 생각이 되서 더 집중 되었습니다  평점이 왜이런지 모르겠네요 다들 연기 너무 잘해서 저도 주인공이 된 느낌이었습니다
살인자의 기억법,다된영화에 설현뿌리기
살인자의 기억법,
살인자의 기억법,내용의 짜임새와 또한 혼란스러움이 잘 조화된 작품
살인자의 기억법,지루하고 숲속씬부터 엉망진창이 됨 원신연 이름값 못한 작품이다 각색 실패
살인자의 기억법,재밌다 보면 후회 절대 안한다 일단봐라 굿
살인자의 기억법,
살인자의 기억법,
살인자의 기억법,헐 평점 왜 이래
살인자의 기억법,
살인자의 기억법,스토리가 좀 진부함 어디서 본거같은
살인자의 기억법,책으로도 읽었고 영화로도 봤는데 악평들이 너무 많아서 솔직히 당황했다 두 배우의 연기가 정말 좋았다  재밌게 본 작품인데 평점이 왜 이런건지 모르겠다
살인자의 기억법,
살인자의 기억법,창작은 자유이고 이건 잘 만든 작품일지도 하지만 이걸 누가 보라고 만들었나 싶다 이걸 재밌다고 추천해 주는 사람이 있다면 그 사람과의 관계는 좀 꺼려질 것 같다 안 본 사람이 있다면 그냥 스킵 추천
살인자의 기억법,치매가 얼마나 무서운 건지 더구나 인생의 상처들은 더욱 기괴하게 만든다
살인자의 기억법,평점이 왜이래 진짜 재밌게 봤는데 설경구 진짜 연기짱이네
살인자의 기억법,왤케 줄창 여자들을 죽이냐 영화 내내 기분 드럽네
살인자의 기억법,설경구 연기는 잘하는거 같은데 왜 이리 어색하지  개발바닥 연쇄살인마
살인자의 기억법,영화 보구 싶은걸 우선 책으로 읽고  영화를 봤어요  둘다 나름 재밌네요 기본 스토리 위에  이야기를 더해 영화  재밌게 봤어요   설경구 연기  다시 보게 되네요  너무 잘 해 연기를  설현도 연기 잘 섞여 가며 괜찮았아요 김남길 역시 오랜만에  재밌는 영화 봐서 좋네요 
살인자의 기억법,치매는 역시 국가에서 관리해야 된다고 봄 경찰검찰국정원안기부기무사청와대국회의원대통령이니 믿으시라고 하면 못믿겠음
살인자의 기억법,오랜만에 설경구가 제대로 연기했네
살인자의 기억법,
살인자의 기억법,조커
살인자의 기억법,
살인자의 기억법,소설의 빈약한 설정과 인과가 고스란히 드러난다 설경구의 연기만 빛난다 그 다음은 아역 설현 캐스팅은 재앙 간혹 보이는 멋드러진 화면은 영화에 녹아들지 못했다 하지만 마지막 독특하고 진한 페이소스는 단연 압권 영화는 설경구가 완성했다 
살인자의 기억법,결말이 좀 영화는 잘 만들었다 연기도 잘하고 
살인자의 기억법,
살인자의 기억법,연기는 그렇다치고 무얼 말하려고 하는 것인지 
살인자의 기억법,
살인자의 기억법,
살인자의 기억법,내용도 연기도 소름 설경구 배우님 연기 최고네요 
살인자의 기억법,
살인자의 기억법,
살인자의 기억법,나쁘지 않음
살인자의 기억법,
살인자의 기억법,개 노 잼 
살인자의 기억법,굿
살인자의 기억법,
살인자의 기억법,배우들의 연기도 뛰어나고 상당히 매력적인 작품인데 시간 변경이 너무 자주 일어나서 혼란스러움
살인자의 기억법,재미 되게 없었지만 김남길 배우에 대한 팬심으로 꾸역꾸역 봤다 
